fetched_at,source_timestamp,bucket_start_utc,rate,bid,ask,spread,market_status
2026-07-26T14:34:09+00:00,2026-07-26T14:34:09.540000+00:00,2026-07-26T14:00:00+00:00,163.8485,163.797,163.9,0.103,CLOSE
2026-07-27T02:02:55+00:00,2026-07-27T02:02:56.461000+00:00,2026-07-27T02:00:00+00:00,163.4775,163.475,163.48,0.005,OPEN
2026-07-27T05:59:28+00:00,2026-07-27T05:59:29.037000+00:00,2026-07-27T05:00:00+00:00,163.5895,163.587,163.592,0.005,OPEN
2026-07-27T10:07:11+00:00,2026-07-27T10:07:11.773000+00:00,2026-07-27T10:00:00+00:00,163.5605,163.558,163.563,0.005,OPEN
2026-07-27T13:21:04+00:00,2026-07-27T13:21:04.850000+00:00,2026-07-27T13:00:00+00:00,163.6865,163.684,163.689,0.005,OPEN
2026-07-27T16:33:30+00:00,2026-07-27T16:33:30.818000+00:00,2026-07-27T16:00:00+00:00,163.6165,163.614,163.619,0.005,OPEN
2026-07-27T18:45:19+00:00,2026-07-27T18:45:19.962000+00:00,2026-07-27T18:00:00+00:00,163.7405,163.738,163.743,0.005,OPEN
2026-07-27T20:41:38+00:00,2026-07-27T20:41:38.935000+00:00,2026-07-27T20:00:00+00:00,163.7605,163.758,163.763,0.005,OPEN
2026-07-27T22:16:35+00:00,2026-07-27T22:16:35.901000+00:00,2026-07-27T22:00:00+00:00,163.7495,163.734,163.765,0.031,OPEN
2026-07-27T23:28:06+00:00,2026-07-27T23:28:07.368000+00:00,2026-07-27T23:00:00+00:00,163.7285,163.721,163.736,0.015,OPEN
2026-07-28T03:32:25+00:00,2026-07-28T03:32:25.801000+00:00,2026-07-28T03:00:00+00:00,163.7305,163.728,163.733,0.005,OPEN
2026-07-28T06:38:41+00:00,2026-07-28T06:38:42.712000+00:00,2026-07-28T06:00:00+00:00,163.7155,163.713,163.718,0.005,OPEN
2026-07-28T09:46:04+00:00,2026-07-28T09:46:04.657000+00:00,2026-07-28T09:00:00+00:00,163.8495,163.847,163.852,0.005,OPEN
2026-07-28T12:11:06+00:00,2026-07-28T12:11:06.636000+00:00,2026-07-28T12:00:00+00:00,163.9335,163.931,163.936,0.005,OPEN
2026-07-28T14:34:25+00:00,2026-07-28T14:34:26.572000+00:00,2026-07-28T14:00:00+00:00,163.8565,163.854,163.859,0.005,OPEN
2026-07-28T16:49:33+00:00,2026-07-28T16:49:33.865000+00:00,2026-07-28T16:00:00+00:00,163.7385,163.736,163.741,0.005,OPEN
2026-07-28T18:43:21+00:00,2026-07-28T18:43:22.090000+00:00,2026-07-28T18:00:00+00:00,163.8315,163.829,163.834,0.005,OPEN
2026-07-28T20:33:38+00:00,2026-07-28T20:33:38.767000+00:00,2026-07-28T20:00:00+00:00,163.8665,163.864,163.869,0.005,OPEN
